,Truck,Type
0,Blue Street Market,American
1,Da Lobsta,American
2,Harold's Chicken Shack,Meat
3,Haute Sausage,American
4,Haute and Ready,American
5,Husky Hog BBQ,Meat
6,Jack's Fork in the Road,American
7,Model Chef,American
8,PORKCHOP,Meat
9,Soups in the Loop,American
10,Southern Pitch,American
11,The Corner Farmacy,American
12,The Roost Truck,Meat
13,The Slide Ride,American
14,Windy City Patty Wagon,American
15,Bob Cha Food Truck,Asian
16,Chicago Lunch Box,Asian
17,PIKO Street Kitchen,Asian
18,Wow Bao,Asian
19,Yum Dum Truck,Asian
20,La Boulangerie,French
21,Paris Ouh La La,French
22,The Fat Shallot,French
23,Caponies Express,Italian
24,Cheesies Truck,Italian
25,Chicago Pizza Boss,Italian
26,Gino's Steak Truck,Italian
27,La Cocinita,Mexican
28,Mina's,Mexican
29,Tamale Spaceship,Mexican
30,Taquero Fusion,Mexican
31,The Jibarito Stop,Mexican
32,The Salsa Truck,Mexican
33,5411 Empanadas,Other
34,Bridgeport Pasty,Other
35,Jerk,Other
36,Pierogi Street,Other
